DrugName,Manufacturer,NAFDAC_Number,Barcode,BatchNumber,ExpiryDate,DosageForm,Strength,PackageSize,Country,Label,Label_Encoded
metronidazol,pharma deko plc,-9449,466549770,batch-229,2022-10-21,ceram,400mg,100 tablets,ghana,Suspicious,1
ciprofloxacin,bioraj pharmaceuticals ltd,y7-8635,6193477848580,b24-0617,2029-02-13,drops,10mg,60ml bottle,nigeria,Genuine,0
vitamin c,novadrug industries,bn7j5u,0000000000000,batch-215,unknown,injection,250mg/5ml,1 vial,china,Suspicious,1
omeprazole,may & baker nigeria plc,n7-2665,6193073510454,b25-8161,2028-04-26,ointment,100mg,20 tablets,nigeria,Genuine,0
ceftiraxone,megadrug industries,tq-fqba,6199406565825,96,24/05/2026,suspension,125mg/5ml,unknown,india,Suspicious,1
lonart,biofix pharmaceuticals,-1600,6190490372955,batch-375,23/07/2025,sachet,200mg,10 capsules,unknown,Suspicious,1
amlodipine,mopson pharmaceutical ltd,i4-8004,6190838517994,bt25-9151,2026-01-21,cream,200mg,5 vials,nigeria,Genuine,0
tramadol,medexpress ltd,u0-669113,401176,bfhbfg,2021-02-22,powder,10mg,10 tablets,china,Suspicious,1
ceftriaxone,pharma deko plc,i3-9394,6191561497843,bn24-6575,2026-01-07,injection,200mg,30g tube,nigeria,Genuine,0
omeprazole,dana pharmaceuticals ltd,v2-3742,6194967419914,unknown,23/11/2025,sachet,5mg,20 tablets,pakistan,Suspicious,1
amoxil,may & baker nigeria plc,m4-4109,6191713900535,bt26-3462,2026-09-07,sachet,200mg,100 tablets,nigeria,Genuine,0
cotrimoxazloe,healwell pharma ltd,-2110,33029276405473986221,batch-008,???,ointment,???,1 vial,unknown,Suspicious,1
multivitamin,pharmafast nigeria,g-77,8888888888888,ukpawz,unknown,syrup,250mg/5ml,100ml bottle,india,Suspicious,1
artemether lumefantrine,pfizer nigeria,p8-9525,6197543943537,lot24-7568,2028-12-04,suspension,50mg,1 tube,nigeria,Genuine,0
lonart,juhel nigeria ltd,b2-9179,6194564494857,l24-5269,2029-03-18,drops,500mg,100 tablets,nigeria,Genuine,0
amoxil,fidson healthcare plc,w7-3196,6198975267727,bt24-3807,2026-07-25,tablet,400mg,60ml bottle,nigeria,Genuine,0
paracetamol,sanofi nigeria,b1-5601,6194734043373,bn26-0822,2029-09-23,drops,500mg/5ml,100 tablets,nigeria,Genuine,0
vitamin b complex,drugfield pharmaceuticals ltd,p2-2036,6192646471543,bt26-8223,2027-08-04,syrup,400mg,10 tablets,nigeria,Genuine,0
amlodipine,nigerian german chemicals plc,q6-8850,7038547872681931,23,UNKNOWN,capsule,50mg,10 capsules,pakistan,Suspicious,1
panado,healwell pharma ltd,i-33,m2hytr7kxdr1t,yqcopbv,2022-09-15,ijnection,400mg,30g tube,nigeria,Suspicious,1
antacid,skg pharma ltd,d4-9429,6195524578716,lot26-4406,2026-06-14,tablet,5mg,30 tablets,nigeria,Genuine,0
