DrugName,Manufacturer,NAFDAC_Number,Barcode,BatchNumber,ExpiryDate,DosageForm,Strength,PackageSize,Country,Label
Metronidazol,pharma deko plc,-9449,466549770,BATCH-229,2022-10-21,Ceram,400mg,100 tablets,Ghana,Suspicious
Ciprofloxacin,Bioraj Pharmaceuticals Ltd,Y7-8635,6193477848580,B24-0617,2029-02-13,Drops,10mg,60ml bottle,Nigeria,Genuine
vITAMIN c,NovaDrug Industries,BN7J5U,0000000000000,BATCH-215,N/A,injection,250mg/5ml,1 vial,China,Suspicious
Omeprazole,May & Baker Nigeria Plc,N7-2665,6193073510454,B25-8161,2028-04-26,Ointment,100mg,20 tablets,Nigeria,Genuine
Ceftiraxone,MegaDrug Industries,TQ-FQBA,6199406565825,96,24/05/2026,Suspension,125mg/5ml,N/A,India,Suspicious
LONART,BioFix Pharmaceuticals,-1600,6190490372955,BATCH-375,23/07/2025,Sachet,200mg,10 capsules,Unknown,Suspicious
Amlodipine,Mopson Pharmaceutical Ltd,I4-8004,6190838517994,BT25-9151,2026-01-21,Cream,200mg,5 vials,Nigeria,Genuine
  Tramadol ,MedExpress Ltd,U0-669113,401176,bfHbfg,2021-02-22,  Powder ,10mg,10 tablets,China,Suspicious
Ceftriaxone,Pharma Deko Plc,I3-9394,6191561497843,BN24-6575,2026-01-07,Injection,200mg,30g tube,Nigeria,Genuine
Omeprazole,  Dana  Pharmaceuticals Ltd,V2-3742,6194967419914,N/A,23/11/2025,  Sachet ,5mg,20 tablets,Pakistan,Suspicious
Amoxil,May & Baker Nigeria Plc,M4-4109,6191713900535,BT26-3462,2026-09-07,Sachet,200mg,100 tablets,Nigeria,Genuine
Cotrimoxazloe,Healwell Pharma Ltd,-2110,33029276405473986221,BATCH-008,???,  Ointment ,???,1 vial,Unknown,Suspicious
Multivitamin,PharmaFast Nigeria,G-77,8888888888888,UKPAWZ,,  Syrup ,250mg/5ml,100ml bottle,India,Suspicious
Artemether Lumefantrine,Pfizer Nigeria,P8-9525,6197543943537,LOT24-7568,2028-12-04,Suspension,50mg,1 tube,Nigeria,Genuine
Lonart,Juhel Nigeria Ltd,B2-9179,6194564494857,L24-5269,2029-03-18,Drops,500mg,100 tablets,Nigeria,Genuine
Amoxil,Fidson Healthcare Plc,W7-3196,6198975267727,BT24-3807,2026-07-25,Tablet,400mg,60ml bottle,Nigeria,Genuine
Paracetamol,Sanofi Nigeria,B1-5601,6194734043373,BN26-0822,2029-09-23,Drops,500mg/5ml,100 tablets,Nigeria,Genuine
Vitamin B Complex,Drugfield Pharmaceuticals Ltd,P2-2036,6192646471543,BT26-8223,2027-08-04,Syrup,400mg,10 tablets,Nigeria,Genuine
Amlodipine,nIGERIAN gERMAN cHEMICALS pLC,Q6-8850,7038547872681931,23,UNKNOWN,cAPSULE,50mg,10 capsules,Pakistan,Suspicious
Panado,Healwell Pharma Ltd,I-33,m2HYtR7KxdR1T,yqCopbv,2022-09-15,Ijnection,400mg,30g tube,Nigeria,Suspicious
Antacid,SKG Pharma Ltd,D4-9429,6195524578716,LOT26-4406,2026-06-14,Tablet,5mg,30 tablets,Nigeria,Genuine
Amoxicilin,Nigerian German Chemicals lPc,R-18,1278988524991960841,BATCH-653,07/08/2025,Talbet,N/A,N/A,China,Suspicious
cHLORPHENIRAMINE,SuperCure Pharma,-5770,6192292538416,??,13/02/2026,Ointmetn,???,20 capsules,China,Suspicious
Amlodipine,Pfizer Nigeria,U0-3845,6192884987455,LOT24-3985,2028-09-24,Drops,100mg,100ml bottle,Nigeria,Genuine
Power Drug,AlphaHealth Industries,-2872,8888888888888,hKPjBSp,2022-12-19,Injection,400mg,1 tube,India,Suspicious
Ranitidine,Pfizer Nigeria,Y6-3421,6193091307562,BT25-3440,2029-09-25,Sachet,50mg,1 tube,Nigeria,Genuine
Panado,Sunrise Medications,HA-KLNV,6192405166543,BATCH-112,09/02/2026,  Injection ,20mg,60ml bottle,Pakistan,Suspicious
Doxycycline,May & Baker Nigeria Plc,C5-2818,6195325947957,BN25-4728,2026-08-04,Drops,250mg/5ml,100 tablets,Nigeria,Genuine
